city,lat,lon,name,review_score,url,description,city_target,city_target_precipitation,date_time,city_target_temp_feels_like,city_target_wind_speed,lat_target,lon_target,city_target_weather_score,distance
Amiens,49.89183258,2.30599433,Hotel Central Anzac,7.4,https://www.booking.com/hotel/fr/central-anzac.en-gb.html,"Centrally located, Hotel Central Anzac is a 2-minute walk from the train station and a 7-minute walk from Amiens Cathedral. It offers modern accommodation and a continental breakfast.<br><br>The ensuite guestrooms are decorated in warm colours giving them a cozy feel. They come with a satellite TV and WiFi access.<br><br>Every morning breakfast is served in the dining area and features a selection of fresh, homemade pastries and jams made from seasonal produce. Guests can choose between a continental or full English breakfast. Newspapers are provided at reception.<br><br>The hotel is a 10-minute walk from the St Leu district and 15 minutes from the famous canal ways.",Amiens,0.3764,2024-04-06 16:48:00,13.5276,5.9648,49.8942,2.2957,1.3352750392781996,0.78
Amiens,49.891999,2.29197,B&B HOTEL Amiens Centre Cathédrale,7.7,https://www.booking.com/hotel/fr/ibis-amiens-centre-cathedrale.en-gb.html,"Offering a restaurant and free Wi-Fi, B&B HOTEL Amiens Centre Cathédrale is located in the centre of Amiens.<br><br>Rooms here will provide you with a flat-screen TV and a desk. The private bathrooms come with a shower.<br><br>At B&B HOTEL Amiens Centre Cathédrale you will find a 24-hour front desk, a bar and a snack bar. Other facilities offered include luggage storage. A buffet breakfast composed of sweet and savoury dishes such as eggs, fruit salad, yogurts and juices is served every day. Pastries baked on site and fresh French Madeleine cakes are also on offer, as well as a hot beverage and a piece of fruit to take away. Outside of regular breakfast hours guests can also enjoy a lighter option, available from 04:00.<br><br>The hotel is 1.3 km from Zénith d'Amiens, 800 m from Berny's Museum and 1.1 km from Amiens Train Station. Beauvais Tillé Airport is 50 km away. The property offers parking at an extra cost.",Amiens,0.3764,2024-04-06 16:48:00,13.5276,5.9648,49.8942,2.2957,1.3352750392781996,0.36
Amiens,49.8916762,2.30775386,"Holiday Inn Express Amiens, an IHG Hotel",7.9,https://www.booking.com/hotel/fr/express-by-holiday-inn.en-gb.html,"Holiday Inn Express offers comfortable guest rooms with free WiFi. It is located in the centre of Amiens just 50 metres from the Train Station and a 10-minute walk from the Cathedral.<br><br>Serviced by a lift, all of the rooms include air conditioning and a flat-screen HD TV with satellite channels. There is also a safety deposit box and an espresso machine.<br><br>A free buffet breakfast is served every morning at the Holiday Inn Express Amiens. Many restaurants can be found nearby.<br><br>This non-smoking hotel also has a bar, a fitness room and laundry and ironing services. Underground, public parking is available nearby for cars up to 1.80 metres high.",Amiens,0.3764,2024-04-06 16:48:00,13.5276,5.9648,49.8942,2.2957,1.3352750392781996,0.91
Amiens,49.891249,2.30953,Moxy Amiens,8.5,https://www.booking.com/hotel/fr/campanile-amiens-centre-gare.en-gb.html,"In the heart of the city and a stone's throw from the train station, our Moxy Amiens hotel is the ideal place for your business or sports trips, for a trip with friends or a discovery stay with your family. Our 3 star hotel, entirely renovated, offers 109 air-conditioned rooms for 1, 2 or 3 people, free wifi and 49 inch connected television.<br><br>A dining bar open to all 24 hours a day where you can eat on the go or taste our regional dishes in a warm and modern atmosphere. Our meeting room with its atypical format will meet your<br>expectations.<br><br>Close to all the major assets of the Picardy capital, let our teams guide you to discover the life of Jules Verne, the Hortillonnages and the largest Gothic Cathedral in France. An underground public parking lot is in the immediate vicinity.",Amiens,0.3764,2024-04-06 16:48:00,13.5276,5.9648,49.8942,2.2957,1.3352750392781996,1.04
Amiens,49.89444519,2.30094239,Hotel Le Prieuré et La Résidence,8.4,https://www.booking.com/hotel/fr/le-prieure-amiens.en-gb.html,"Located in Amiens city centre, Hotel Le Prieuré et la Résidence are at the foot of the Amiens Cathedral. It offers free Wi-Fi internet access and individually-decorated rooms with antique furnishings.<br><br>Guest rooms at the Prieuré et la Résidence have a private bathroom with a bath or shower. They are each equipped with a TV and a hairdryer.<br><br>A breakfast buffet is served daily in Le Prieuré's breakfast room, which features crystal chandeliers. Guests can relax on the hotel’s terrace and courtyard.<br><br>Hotel Le Prieuré et La Résidence is just 900 metres from the Amiens SNCF Train Station. The Amiens-Glisy Airport is a 15-minute drive away.",Amiens,0.3764,2024-04-06 16:48:00,13.5276,5.9648,49.8942,2.2957,1.3352750392781996,0.38
Amiens,49.891591,2.313573,ibis budget Amiens Centre Gare,8.1,https://www.booking.com/hotel/fr/ibis-budget-amiens-centre-gare.en-gb.html,"Ibis budget Amiens Centre Gare is set in Amiens city centre, a 5-minute walk from Amiens Train Station and a 15-minute walk from Notre-Dame of Amiens Cathedral. Free WiFi is provided.<br><br>All rooms have air conditioning, a flat-screen TV and a private bathroom fitted with a shower.<br><br>A buffet breakfast can en enjoyed every morning.<br><br>The nearest airport is Paris Beauvais-Tille Airport, 50 km from the hotel.",Amiens,0.3764,2024-04-06 16:48:00,13.5276,5.9648,49.8942,2.2957,1.3352750392781996,1.31
Amiens,49.885365,2.269669,Le Vivier,8.0,https://www.booking.com/hotel/fr/le-vivier-amiens.en-gb.html,"Set in Amiens, 2.4 km from Zénith d'Amiens, Le Vivier offers accommodation with a shared lounge, free private parking, a terrace and a restaurant. Located around 3 km from Amiens Train Station, the inn with free WiFi is also 2.9 km away from Berny's Museum. The accommodation provides room service, a 24-hour front desk and luggage storage for guests.<br><br>At the inn, every room has a desk. Selected rooms also feature a kitchenette with a fridge, a microwave and a minibar. At Le Vivier the rooms come with bed linen and towels.<br><br>Guests at the accommodation will be able to enjoy activities in and around Amiens, like golfing.<br><br>There is an in-house bar and guests can also make use of the business area.<br><br>The Floating gardens Park is 3.7 km from Le Vivier, while University of Picardie Jules Verne is 1.4 km from the property. The nearest airport is Beauvais–Tillé Airport, 64 km from the inn.",Amiens,0.3764,2024-04-06 16:48:00,13.5276,5.9648,49.8942,2.2957,1.3352750392781996,2.11
Amiens,49.891422,2.304996,ibis Styles Amiens Centre,8.7,https://www.booking.com/hotel/fr/ibis-styles-amiens-centre.en-gb.html,"Featuring a bar, ibis Styles Amiens Centre is located in Amiens in the Picardy region, 300 metres from Amiens Train Station and 3.9 km from Zénith d'Amiens. Featuring a shared lounge, the 3-star hotel has air-conditioned rooms with free WiFi, each with a private bathroom. The property is non-smoking and is set less than 1 km from The Floating gardens Park.<br><br>Guest rooms in the hotel are equipped with a flat-screen TV with satellite channels. At ibis Styles Amiens Centre each room has bed linen and towels.<br><br>The accommodation offers a buffet or continental breakfast.<br><br>Ibis Styles Amiens Centre offers a sun terrace.<br><br>With staff speaking English, Spanish, French and Portuguese, guidance is available at the reception.<br><br>Berny's Museum is 400 metres from the hotel, while Tribunal de Grande Instance of Amiens is 400 metres away. The nearest airport is Beauvais–Tillé Airport, 66 km from ibis Styles Amiens Centre.",Amiens,0.3764,2024-04-06 16:48:00,13.5276,5.9648,49.8942,2.2957,1.3352750392781996,0.73
Amiens,49.87961282,2.26665102,The Originals Boutique Hôtel Amiens Sud,8.4,https://www.booking.com/hotel/fr/the-originals-boutique-amiens-sud-chu-amiens.en-gb.html,"Situated in Amiens, 3.6 km from Zénith d'Amiens, The Originals Boutique Hôtel Amiens Sud features accommodation with a garden, free private parking, a restaurant and a bar. With free WiFi, this 3-star hotel offers a 24-hour front desk and luggage storage space. The property is non-smoking and is set 3.8 km from Amiens Train Station.<br><br>At the hotel, each room is fitted with a desk. Complete with a private bathroom fitted with a shower and free toiletries, the rooms at The Originals Boutique Hôtel Amiens Sud have a flat-screen TV and air conditioning, and certain rooms come with a seating area. At the accommodation rooms have bed linen and towels.<br><br>Berny's Museum is 3.7 km from The Originals Boutique Hôtel Amiens Sud, while The Floating gardens Park is 4.5 km from the property. The nearest airport is Beauvais–Tillé Airport, 61 km from the hotel.",Amiens,0.3764,2024-04-06 16:48:00,13.5276,5.9648,49.8942,2.2957,1.3352750392781996,2.64
Amiens,49.92513403,2.30457276,Comfort Hotel Amiens Nord,6.7,https://www.booking.com/hotel/fr/kyriad-amiens-nord-xml.en-gb.html,"Comfort Hotel Amiens Nord is just 4 km from Amiens city centre and offers accommodation in a hotel with a  terrace. Free Wi-Fi, free private parking and meeting rooms are available on site.<br><br>The hotel’s rooms feature a flat-screen TV with satellite channels. The en suite bathroom features a hairdryer, free toiletries and a bathtub.<br><br>Every morning, guests can enjoy a breakfast buffet.<br><br>Amiens historical centre and cathedral are just 5 km away, together with Amiens Zoological Garden. Amiens Train Station is 4.5 km away and there is access to A16 Motorway 20 km away.",Amiens,0.3764,2024-04-06 16:48:00,13.5276,5.9648,49.8942,2.2957,1.3352750392781996,3.5
